Step,Tumor Cells,Necrotic Cells,Growth Rate
108,1283950617.2839506,2716049382.716049,-0.018867924528301876
109,1283950617.2839506,2716049382.716049,0.0
110,1308641975.308642,2716049382.716049,0.01923076923076922
111,1283950617.2839506,2753086419.7530866,-0.018867924528301876
112,1234567901.2345679,2802469135.8024693,-0.03846153846153844
113,1209876543.2098765,2851851851.851852,-0.01999999999999999
114,1222222222.2222223,2864197530.8641977,0.010204081632653154
115,1172839506.1728394,2950617283.9506173,-0.040404040404040574
116,1148148148.148148,2987654320.987654,-0.021052631578947358
117,1148148148.148148,3012345679.012346,0.0
118,1160493827.1604939,3024691358.0246916,0.010752688172043109
119,1160493827.1604939,3037037037.037037,0.0
120,1209876543.2098765,3037037037.037037,0.04255319148936167
121,1222222222.2222223,3037037037.037037,0.010204081632653154
122,1197530864.197531,3074074074.0740743,-0.02020202020202019
123,1209876543.2098765,3086419753.0864196,0.010309278350515358
124,1185185185.1851852,3111111111.111111,-0.02040816326530611
125,1135802469.1358025,3160493827.160494,-0.041666666666666644
126,1135802469.1358025,3172839506.1728396,0.0
127,1098765432.0987654,3209876543.2098765,-0.032608695652173995
128,1049382716.0493827,3259259259.259259,-0.04494382022471908
129,1049382716.0493827,3271604938.271605,0.0
130,1049382716.0493827,3271604938.271605,0.0
131,1024691358.0246913,3296296296.296296,-0.023529411764705868
132,1024691358.0246913,3320987654.3209877,0.0
133,1024691358.0246913,3333333333.3333335,0.0
134,1000000000.0,3358024691.3580246,-0.024096385542168662
135,975308641.9753087,3395061728.395062,-0.024691358024691343
136,975308641.9753087,3395061728.395062,0.0
137,987654320.9876543,3407407407.4074073,0.012658227848101259
138,987654320.9876543,3419753086.419753,0.0
139,1000000000.0,3419753086.419753,0.012499999999999992
140,975308641.9753087,3456790123.45679,-0.024691358024691343
141,950617283.9506173,3506172839.5061727,-0.025316455696202517
142,913580246.9135803,3543209876.54321,-0.03896103896103894
143,913580246.9135803,3555555555.5555553,0.0
144,901234567.9012346,3567901234.567901,-0.013513513513513504
145,913580246.9135803,3580246913.580247,0.013698630136986292
146,938271604.9382716,3580246913.580247,0.027027027027027008
147,938271604.9382716,3580246913.580247,0.0
148,925925925.925926,3592592592.5925927,-0.013157894736842098
